,p_min,p_max,cosTheta_min,cosTheta_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
36,2.1,2.5,0.225,0.5,1.1592387918923674,0.04369329528617125,0.04369329528617125,0.00424844376551059,0.00424844376551059,0.02253791830139618,0.0006929409511860965,0.0006929409511860965,0.00021788087716578805,0.00021788087716578805,0.01944199802406955,0.0006035838681778309,0.0006035838681778309,4.0163157352498396e-05,4.0163157352498396e-05,0.9,kaonID
37,2.1,2.5,0.5,0.766,1.441214975067098,0.031257742295801944,0.031257742295801944,0.004391543421671473,0.004391543421671473,0.036565536374170114,0.0007571526227457548,0.0007571526227457548,0.0001508571174770046,0.0001508571174770046,0.025371326975330486,0.0005940780923607178,0.0005940780923607178,6.914629229721331e-05,6.914629229721331e-05,0.9,kaonID
38,2.1,2.5,0.766,0.8829,1.9731860424030507,0.05323619069700694,0.05323619069700694,0.013019873789082093,0.013019873789082093,0.028255239328948297,0.0009030278866377173,0.0009030278866377173,0.00018259650800633853,0.00018259650800633853,0.014319602268490389,0.0006096640299243595,0.0006096640299243595,9.841924732292492e-05,9.841924732292492e-05,0.9,kaonID
39,2.1,2.5,0.8829,0.9563,1.933371936546621,0.10916954434061639,0.10916954434061639,0.025990383653900606,0.025990383653900606,0.014835043542922961,0.0010076435674338607,0.0010076435674338607,0.0003759876686933398,0.0003759876686933398,0.00767314517320513,0.0006557926539675862,0.0006557926539675862,0.0005550228184533022,0.0005550228184533022,0.9,kaonID
40,2.5,2.9000000000000004,-0.866,-0.682,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,kaonID
41,2.5,2.9000000000000004,-0.682,-0.4226,3.1691638891797878,0.04768030412770591,0.04768030412770591,0.02961477315783645,0.02961477315783645,0.11717400591347243,0.0027806298814106794,0.0027806298814106794,0.00021109802665394972,0.00021109802665394972,0.036973160748653575,0.0015290365648376685,0.0015290365648376685,0.0009382038849576614,0.0009382038849576614,0.9,kaonID
42,2.5,2.9000000000000004,-0.4226,-0.1045,1.7259306325528716,0.08149814706752798,0.08149814706752798,0.04771034973312216,0.04771034973312216,0.025924482801093243,0.0012841690883558118,0.0012841690883558118,0.000904463033851506,0.000904463033851506,0.015020582120816538,0.0009720803171528786,0.0009720803171528786,0.0018349916113638773,0.0018349916113638773,0.9,kaonID
43,2.5,2.9000000000000004,-0.1045,0.225,1.335431593749834,0.07796164750120309,0.07796164750120309,0.024514700888468077,0.024514700888468077,0.017909533365266544,0.0009328813010646484,0.0009328813010646484,0.0007292670020326159,0.0007292670020326159,0.013411045125102479,0.0007779334854510502,0.0007779334854510502,0.0008847470568213323,0.0008847470568213323,0.9,kaonID
44,2.5,2.9000000000000004,0.225,0.5,0.9299296391083027,0.04618844805163318,0.04618844805163318,0.00017759277535756013,0.00017759277535756013,0.025336688058198904,0.0008763172321113264,0.0008763172321113264,0.0005482851357476969,0.0005482851357476969,0.027245811933141437,0.0008340600354630723,0.0008340600354630723,0.000804702409921202,0.000804702409921202,0.9,kaonID
45,2.5,2.9000000000000004,0.5,0.766,1.2502615977316975,0.031133469850352744,0.031133469850352744,0.0005951710696869839,0.0005951710696869839,0.04143519904540379,0.0008869259802220487,0.0008869259802220487,0.0005317954875206574,0.0005317954875206574,0.033141223501208156,0.0007492505707806152,0.0007492505707806152,1.582757857323397e-05,1.582757857323397e-05,0.9,kaonID
46,2.5,2.9000000000000004,0.766,0.8829,1.9292834470123956,0.05505651094393634,0.05505651094393634,0.03081465529331595,0.03081465529331595,0.032016259745756795,0.0010322434326473875,0.0010322434326473875,0.0003063830429376538,0.0003063830429376538,0.016594896823136994,0.0007406090338585942,0.0007406090338585942,0.0013331204960042656,0.0013331204960042656,0.9,kaonID
47,2.5,2.9000000000000004,0.8829,0.9563,1.8487175339257205,0.14026133468737204,0.14026133468737204,0.048714309880366624,0.048714309880366624,0.013522067113807764,0.0011452264183185869,0.0011452264183185869,0.0003325169942702544,0.0003325169942702544,0.007314295919016835,0.0008177733776519594,0.0008177733776519594,0.00047213344694534495,0.00047213344694534495,0.9,kaonID
48,2.9000000000000004,3.3000000000000003,-0.866,-0.682,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,kaonID
49,2.9000000000000004,3.3000000000000003,-0.682,-0.4226,2.3287914450582172,0.06786708153040545,0.06786708153040545,0.0026411715025025373,0.0026411715025025373,0.12989056852776593,0.005158399681698688,0.005158399681698688,3.666690722822774e-05,3.666690722822774e-05,0.05577595572304191,0.003069595875012381,0.003069595875012381,0.00038890574282299945,0.00038890574282299945,0.9,kaonID
50,2.9000000000000004,3.3000000000000003,-0.4226,-0.1045,1.2558944774900453,0.089876948580389,0.089876948580389,0.005487167108582769,0.005487167108582769,0.03140982661151325,0.001963743707342844,0.001963743707342844,0.0007490106800968101,0.0007490106800968101,0.0250099249375529,0.0016148570043423712,0.0016148570043423712,0.0012952419085181452,0.0012952419085181452,0.9,kaonID
51,2.9000000000000004,3.3000000000000003,-0.1045,0.225,0.9785622801794363,0.08100535163777924,0.08100535163777924,0.004812090876674779,0.004812090876674779,0.020052947696664783,0.0012174996932820769,0.0012174996932820769,0.0005138284174594429,0.0005138284174594429,0.02049225491604656,0.0010988983418203,0.0010988983418203,0.0004177160423271091,0.0004177160423271091,0.9,kaonID
52,2.9000000000000004,3.3000000000000003,0.225,0.5,0.7260935941841375,0.05734716215936569,0.05734716215936569,0.004202823402510436,0.004202823402510436,0.02220166315074108,0.0010121391582470728,0.0010121391582470728,0.0003844589167130742,0.0003844589167130742,0.030576861342080274,0.0010637897347536471,0.0010637897347536471,0.0001537198049110164,0.0001537198049110164,0.9,kaonID
53,2.9000000000000004,3.3000000000000003,0.5,0.766,1.0372809353752035,0.03517375580365098,0.03517375580365098,0.0008743847979191255,0.0008743847979191255,0.042548397509293547,0.0010849521862484194,0.0010849521862484194,0.0007405511601396991,0.0007405511601396991,0.04101916468165205,0.0009937999705771704,0.0009937999705771704,0.0001727311757450112,0.0001727311757450112,0.9,kaonID
54,2.9000000000000004,3.3000000000000003,0.766,0.8829,1.5433035357804705,0.05758319968517874,0.05758319968517874,0.014056232549525038,0.014056232549525038,0.03522753539481215,0.0012887980592001537,0.0012887980592001537,0.0011736476617385042,0.0011736476617385042,0.022826057595336933,0.0010150194750481786,0.0010150194750481786,0.0004988387700636324,0.0004988387700636324,0.9,kaonID
55,2.9000000000000004,3.3000000000000003,0.8829,0.9563,1.8588387532418438,0.1761314178447088,0.1761314178447088,0.08191374257256245,0.08191374257256245,0.015644617329214065,0.0016274416814613198,0.0016274416814613198,0.0018308467352204164,0.0018308467352204164,0.008416339126742224,0.001196214309799896,0.001196214309799896,0.0006826006928242574,0.0006826006928242574,0.9,kaonID
56,3.3000000000000003,3.7,-0.866,-0.682,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,kaonID
57,3.3000000000000003,3.7,-0.682,-0.4226,1.6287881158088904,0.15103058280549142,0.15103058280549142,0.009978265971002598,0.009978265971002598,0.137919947936208,0.013828166497478261,0.013828166497478261,0.0003172333264994387,0.0003172333264994387,0.08467642082943001,0.009564206407878193,0.009564206407878193,0.010770164109274019,0.010770164109274019,0.9,kaonID
58,3.3000000000000003,3.7,-0.4226,-0.1045,1.4421544866395268,0.1407599284427075,0.1407599284427075,0.009563916913547077,0.009563916913547077,0.043983989660511306,0.004107629806304108,0.004107629806304108,0.00043258034967689346,0.00043258034967689346,0.03049880582696915,0.0032120635032343485,0.0032120635032343485,0.003726731689485438,0.003726731689485438,0.9,kaonID
59,3.3000000000000003,3.7,-0.1045,0.225,0.9873188583153616,0.10540956696594266,0.10540956696594266,0.008131114163593467,0.008131114163593467,0.02338820280200561,0.0018479971368614548,0.0018479971368614548,0.0004465911931080744,0.0004465911931080744,0.023688601311548266,0.0016527707500855408,0.0016527707500855408,0.0014138577048451763,0.0014138577048451763,0.9,kaonID
60,3.3000000000000003,3.7,0.225,0.5,0.6657481038821432,0.0659141683060372,0.0659141683060372,8.71180061954302e-05,8.71180061954302e-05,0.02750364755777593,0.0014681198875153812,0.0014681198875153812,0.00022314808961562338,0.00022314808961562338,0.041312393377307875,0.001597539900914492,0.001597539900914492,0.0009025457216502025,0.0009025457216502025,0.9,kaonID
61,3.3000000000000003,3.7,0.5,0.766,0.9138782537004647,0.043322462326244336,0.043322462326244336,0.0024053944344909484,0.0024053944344909484,0.0414366622527396,0.0013438869433574274,0.0013438869433574274,0.0005643315531906196,0.0005643315531906196,0.04534155625758111,0.0013023217324218492,0.0013023217324218492,0.0008858753473701408,0.0008858753473701408,0.9,kaonID
62,3.3000000000000003,3.7,0.766,0.8829,1.7104867123649947,0.0656960285420166,0.0656960285420166,0.026052355569958774,0.026052355569958774,0.040483626965372894,0.001608298915087762,0.001608298915087762,0.0009664963871036936,0.0009664963871036936,0.02366789912644129,0.0012383813198800543,0.0012383813198800543,0.0015436183408076183,0.0015436183408076183,0.9,kaonID
63,3.3000000000000003,3.7,0.8829,0.9563,1.5232904083695518,0.24890202467837536,0.24890202467837536,0.05848701371933296,0.05848701371933296,0.012011861189832334,0.0019891907758530516,0.0019891907758530516,0.0019379348727945455,0.0019379348727945455,0.007885470245092126,0.0014652579889032956,0.0014652579889032956,0.00101261801141515,0.00101261801141515,0.9,kaonID
64,3.7,4.1,-0.866,-0.682,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,kaonID
65,3.7,4.1,-0.682,-0.4226,2.986866783874534,3.280171709566622,3.280171709566622,2.0044430989083253,2.0044430989083253,0.12350360577075793,0.06579577909018003,0.06579577909018003,0.09894452138476474,0.09894452138476474,0.041348883196775946,0.13383063174409998,0.13383063174409998,0.0013488831967759447,0.0013488831967759447,0.9,kaonID
66,3.7,4.1,-0.4226,-0.1045,1.596945229214427,0.43100237201353725,0.43100237201353725,0.036440291107084466,0.036440291107084466,0.044393328673039335,0.01034494303393654,0.01034494303393654,0.0006453891318180041,0.0006453891318180041,0.02779890497238744,0.010079180063394293,0.010079180063394293,0.004394253981334896,0.004394253981334896,0.9,kaonID
67,3.7,4.1,-0.1045,0.225,0.7441195765015347,0.17730103494182747,0.17730103494182747,0.00507554711117264,0.00507554711117264,0.023968939313479248,0.0033344211934359363,0.0033344211934359363,0.0001304270191295545,0.0001304270191295545,0.032211139271686416,0.0035407178756322708,0.0035407178756322708,0.00016816110414474839,0.00016816110414474839,0.9,kaonID
68,3.7,4.1,0.225,0.5,0.6693668182618452,0.08749467854341743,0.08749467854341743,0.00026938064728021516,0.00026938064728021516,0.034694078123296675,0.0024809622454356225,0.0024809622454356225,0.00018966018572202928,0.00018966018572202928,0.05183118908312083,0.0026130760559623326,0.0026130760559623326,0.0005925880609897183,0.0005925880609897183,0.9,kaonID
69,3.7,4.1,0.5,0.766,0.8573644770922372,0.06272764687912696,0.06272764687912696,0.0015863437457747098,0.0015863437457747098,0.03512554080023067,0.0016838486418210006,0.0016838486418210006,0.0004694846244295281,0.0004694846244295281,0.04096920474167463,0.0016574585667128953,0.0016574585667128953,0.000407724784389385,0.000407724784389385,0.9,kaonID
70,3.7,4.1,0.766,0.8829,1.4852485367506911,0.07757544156068835,0.07757544156068835,0.006950453279787494,0.006950453279787494,0.0405231158405112,0.0020640185471239598,0.0020640185471239598,0.0006237893141466944,0.0006237893141466944,0.027283727159337558,0.0015964224185004393,0.0015964224185004393,0.0005920463644609499,0.0005920463644609499,0.9,kaonID
71,3.7,4.1,0.8829,0.9563,13.98796422282528,1.4591869828807087,1.4591869828807087,152.6043461434349,152.6043461434349,0.014494391561699828,0.0023912396052168956,0.0023912396052168956,0.0013599875821694828,0.0013599875821694828,0.001036204506303224,0.0015023211829614464,0.0015023211829614464,0.004160760466152861,0.004160760466152861,0.9,kaonID
72,4.1,4.5,-0.866,-0.682,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9,kaonID
73,4.1,4.5,-0.682,-0.4226,0.0,1.0,1.0,1.0,1.0,-0.07567102547330283,0.11258487407164028,0.11258487407164028,0.030587061619228972,0.030587061619228972,0.0,0.0,0.0,0.0,0.0,0.9,kaonID
74,4.1,4.5,-0.4226,-0.1045,0.0,1.0,1.0,1.0,1.0,0.17387740804143864,1.265398562584266,1.265398562584266,0.14577473347181422,0.14577473347181422,-0.05719772430304081,0.06708810971239622,0.06708810971239622,0.10982930325040924,0.10982930325040924,0.9,kaonID
75,4.1,4.5,-0.1045,0.225,0.6406735288833858,0.4563830714140672,0.4563830714140672,0.0032965102935836876,0.0032965102935836876,0.02887258816541139,0.010517377288971126,0.010517377288971126,0.0002561139398656459,0.0002561139398656459,0.04506599205953259,0.012390598821106078,0.012390598821106078,0.006735809742269208,0.006735809742269208,0.9,kaonID
76,4.1,4.5,0.225,0.5,0.942737852733484,0.1566168502598563,0.1566168502598563,0.004871370741689529,0.004871370741689529,0.04153200519259695,0.004875931357711756,0.004875931357711756,9.428624521783113e-05,9.428624521783113e-05,0.04405467020569315,0.004566763237339852,0.004566763237339852,0.004146768643227716,0.004146768643227716,0.9,kaonID
77,4.1,4.5,0.5,0.766,1.118333302065663,0.0987992534596702,0.0987992534596702,0.00647559844101897,0.00647559844101897,0.03559285299876477,0.002529128157012017,0.002529128157012017,0.0004761688025803623,0.0004761688025803623,0.03182669507652284,0.0021847509141701194,0.0021847509141701194,0.0032252933466736457,0.0032252933466736457,0.9,kaonID
